,date,time,latitude,longitude,distance,speed,heart_rate,cadence,enhanced_speed,enhanced_altitude,fractional_cadence
66,11/6/22,14:51:12,40.60462142,-74.05106091,836.1,NA,177,81,2.921,77.6,0
67,11/6/22,14:51:14,40.60464707,-74.05099503,842.36,NA,174,81,2.921,77.4,0
68,11/6/22,14:51:21,40.60472184,-74.05076067,863.86,NA,175,81,2.93,77.2,0
69,11/6/22,14:51:22,40.60473047,-74.05073175,866.49,NA,175,81,2.93,77.2,0
70,11/6/22,14:51:29,40.60479007,-74.0505041,886.83,NA,175,81,2.939,76.6,0
71,11/6/22,14:51:33,40.60483432,-74.05038516,898.04,NA,175,81,2.939,75.8,0
72,11/6/22,14:51:40,40.60491328,-74.05013697,920.8,NA,174,81,2.958,75.6,0
73,11/6/22,14:51:43,40.60494396,-74.05003069,930.4,NA,173,81,2.967,76.6,0
74,11/6/22,14:51:50,40.60501504,-74.04979935,951.5,NA,174,81,2.995,78.2,0
75,11/6/22,14:51:52,40.60503348,-74.04973481,957.32,NA,173,81,3.004,78.4,0
76,11/6/22,14:51:59,40.60512601,-74.04952199,978.08,NA,174,82,3.004,78.8,0
77,11/6/22,14:52:00,40.60513892,-74.04948385,981.61,NA,173,82,3.004,78.8,0
78,11/6/22,14:52:07,40.60520371,-74.04925553,1002.24,NA,175,82,3.014,79.8,0
79,11/6/22,14:52:09,40.6052235,-74.04919292,1007.98,NA,175,81,3.023,79.8,0
80,11/6/22,14:52:16,40.60529709,-74.0489739,1028.26,NA,176,82,3.023,80,0
81,11/6/22,14:52:24,40.60536926,-74.04873024,1050.43,NA,177,81,3.004,78.8,0
82,11/6/22,14:52:31,40.60543824,-74.04850066,1071.37,NA,176,82,2.976,79.6,0
83,11/6/22,14:52:33,40.60545752,-74.04844584,1076.46,NA,176,81,2.976,79.8,0
84,11/6/22,14:52:40,40.60553379,-74.04821358,1097.86,NA,178,80,2.967,82.2,0
85,11/6/22,14:52:43,40.60556942,-74.04810721,1107.69,NA,178,82,2.976,83.2,0
86,11/6/22,14:52:46,40.60559465,-74.04801811,1115.73,NA,178,81,2.976,83.8,0
87,11/6/22,14:52:53,40.60566816,-74.04778241,1137.26,NA,178,81,2.986,84.2,0
88,11/6/22,14:53:00,40.60574921,-74.04754596,1159.21,NA,178,81,2.995,84.2,0
89,11/6/22,14:53:01,40.60576103,-74.04751528,1162.13,NA,178,81,3.004,84.2,0
90,11/6/22,14:53:03,40.60578223,-74.04746097,1167.29,NA,178,80,3.004,84.4,0
91,11/6/22,14:53:10,40.60584728,-74.04721781,1189.12,NA,177,82,3.004,84,0
92,11/6/22,14:53:12,40.60586899,-74.04714329,1195.87,NA,180,83,3.004,83.6,0
93,11/6/22,14:53:13,40.60588047,-74.04710784,1199.13,NA,177,83,3.004,83.4,0
94,11/6/22,14:53:20,40.60595213,-74.04686728,1220.99,NA,176,81,3.023,83.8,0
95,11/6/22,14:53:21,40.60596504,-74.04683643,1223.96,NA,176,81,3.023,84.2,0
96,11/6/22,14:53:27,40.606044,-74.04664851,1242.11,NA,177,81,3.032,85.6,0
97,11/6/22,14:53:34,40.60612991,-74.04642781,1263.09,NA,176,81,3.042,87,0
98,11/6/22,14:53:35,40.60614039,-74.04639278,1266.27,NA,176,81,3.042,87,0
99,11/6/22,14:53:42,40.60622555,-74.04615439,1288.52,NA,175,81,3.06,88,0
100,11/6/22,14:53:43,40.60623636,-74.04611743,1291.87,NA,176,81,3.06,88,0
101,11/6/22,14:53:50,40.60629764,-74.04587285,1313.63,NA,177,81,3.088,89.6,0
102,11/6/22,14:53:51,40.60630954,-74.04583965,1316.73,NA,177,81,3.088,89.6,0
