Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
3953937944,"Aug 23, 2020, 10:53:56 AM",Pre-Exam Endorphin Rush,Run,"Note to self: don’t do a tough arm/core workout two days before a ‘long’ run... Also, I am convinced my calves have fully transformed into metal rods 🙃 The run was still worth it though! ",2347,6.43,201.0,62,false,,activities/4232521617.fit.gz,,,2347.0,2161.0,6437.2998046875,4.199999809265137,2.9788522720336914,21.07805633544922,21.578100204467773,28.700000762939453,46.599998474121094,9.699999809265137,-0.007767231669276953,,,81.0,78.77042388916016,,155.14967346191406,,,380.0,,,62.0,,,,,,,,,,,0.0,,0.0,,1.0,6466.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978770156,"Aug 28, 2020, 12:10:06 PM",Temp: 66 deg; Humidity: 100000000%,Run,"",1097,3.22,145.0,4,false,,activities/4258992057.fit.gz,,,1097.0,942.0,3224.5,5.099999904632568,3.4230360984802246,16.600805282592773,29.900800704956055,19.799999237060547,46.599998474121094,7.599999904632568,-0.4124670624732971,,,84.0,80.048583984375,,128.50537109375,,,120.0,,,4.0,,,,,,,,,,,0.0,,0.0,,1.0,3222.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999145120,"Aug 31, 2020, 10:48:30 AM",Morning Run,Run,,1135,3.22,171.0,16,false,,activities/4280819932.fit.gz,,,1135.0,909.0,3221.199951171875,4.900000095367432,3.5436744689941406,4.092857360839844,7.692857265472412,3.5,9.300000190734863,5.400000095367432,-0.11175959557294846,,,85.0,80.31050872802734,,146.30430603027344,,,148.0,,,16.0,,,,,,,,,,,,,0.0,,1.0,3223.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3999145482,"Aug 31, 2020, 11:13:04 AM",Morning Run,Run,,1136,3.22,178.0,47,false,,activities/4280820346.fit.gz,,,1136.0,1023.0,3222.199951171875,4.099999904632568,3.1497557163238525,9.749107360839844,3.7491071224212646,3.200000047683716,9.199999809265137,4.300000190734863,0.18620817363262177,,,83.0,79.39979553222656,,168.71792602539062,,,196.0,,,47.0,,,,,,,,,,,,,0.0,,1.0,3242.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4032905503,"Sep 3, 2020, 11:43:27 AM",Morning Run,Run,,1087,3.22,170.0,24,false,,activities/4316360649.fit.gz,,,1087.0,964.0,3221.10009765625,4.199999809265137,3.3413901329040527,0.0,1.399999976158142,3.0999999046325684,5.0,4.300000190734863,-0.043463412672281265,,,82.0,79.33477020263672,,152.88217163085938,,,165.0,,,24.0,,,,,,,,,,,,,0.0,,1.0,3221.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4073048221,"Sep 17, 2020, 11:38:22 AM",Beautiful beach run,Run,Gotta start training for that 10K I spontaneously signed up for...🙃,1644,4.83,178.0,43,false,,activities/4358762181.fit.gz,,,1644.0,1407.0,4834.89990234375,4.800000190734863,3.4363183975219727,6.510293960571289,6.410289764404297,2.200000047683716,7.400000095367432,32.400001525878906,0.002068295143544674,,,86.0,80.31227111816406,,157.1639404296875,,,249.0,,,43.0,,,,,,,,,,,0.0,,0.0,,1.0,4890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4089262846,"Sep 20, 2020, 5:25:42 PM",Long run Sunday > Castle Island!,Run,Beautiful beach run! A tad windy...🙃,2434,6.84,186.0,70,false,,activities/4375933167.fit.gz,,,2434.0,2112.0,6848.10009765625,4.099999904632568,3.242471694946289,0.0,0.699999988079071,2.9000000953674316,4.699999809265137,3.299999952316284,-0.010221813805401325,,,84.0,80.5712890625,,159.12405395507812,,,378.0,,,70.0,,,,,,,,,,,0.0,,0.0,,1.0,6852.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4109928113,"Sep 25, 2020, 12:07:40 PM","Watch died, almost got hit by a motorcycle, and started TOO fast",Run,"Painful, just painful. But felt good to get moving again 🙃",1020,3.21,,,false,,,,,1020.0,1020.0,3218.6943359375,,3.1555826663970947,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123429654,"Sep 25, 2020, 11:51:42 AM",Watch died 🙃,Run,"",348,1.13,136.0,1,false,,activities/4412142163.fit.gz,,,348.0,303.0,1129.0999755859375,4.5,3.726402521133423,4.113846302032471,8.413849830627441,3.700000047683716,9.199999809265137,4.800000190734863,-0.38083428144454956,,,84.0,81.01481628417969,,127.32996368408203,,,39.0,,,1.0,,,,,,,,,,,0.0,,0.0,,1.0,1125.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4123433207,"Sep 26, 2020, 6:11:54 PM",Freedom Trail 🙃,Walk,"",4059,4.83,158.0,14,false,,activities/4412145917.fit.gz,,,4059.0,4011.0,4829.2998046875,25.5,1.2040139436721802,6.305960178375244,24.405960083007812,2.9000000953674316,24.600000381469727,15.600000381469727,-0.374795526266098,,,63.0,53.01192092895508,,118.05729675292969,,,337.0,,,14.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
